time, Quad.IMU.AX
3.904899,-0.703246
3.909899,0.269970
3.914899,0.479616
3.919898,-0.705761
3.924898,0.422034
3.929898,-0.197804
3.934897,0.114917
3.939897,0.192756
3.944896,-0.202363
3.949896,-0.433597
3.954896,0.038850
3.959895,-0.776907
3.964895,-0.415579
3.969895,-0.359896
3.974894,0.263182
3.979894,0.461075
3.984894,-0.378155
3.989893,-0.074951
3.994893,1.054850
3.999892,-0.117153
4.004892,0.247602
4.009892,0.785083
4.014892,0.147967
4.019891,-0.404220
4.024891,0.683954
4.029891,-0.207619
4.034890,-0.229906
4.039890,-0.646924
4.044889,-0.371299
4.049889,-0.673445
4.054889,0.384520
4.059888,-0.085630
4.064888,-0.648448
4.069888,-0.158674
4.074887,0.228187
4.079887,-0.141939
4.084887,-0.057488
4.089886,0.593941
4.094886,-0.225637
4.099885,0.085351
4.104885,0.039806
4.109885,-0.212777
4.114884,-0.016866
4.119884,-0.128438
4.124884,-0.918999
4.129883,-0.357733
4.134883,0.131746
4.139883,-0.594816
4.144882,-0.606018
4.149882,0.980423
4.154881,0.677149
4.159881,0.387361
4.164881,-0.166704
4.169880,-0.597196
4.174880,0.130415
4.179880,0.375266
4.184879,-0.352690
4.189879,0.354353
4.194879,-0.426270
4.199878,-0.283738
4.204878,-0.924534
4.209877,0.347827
4.214877,-0.147581
4.219877,0.685740
4.224876,0.532182
4.229876,0.534500
4.234876,-0.466286
4.239875,0.760813
4.244875,-0.142375
4.249875,0.607825
4.254874,-0.658421
4.259874,-0.327773
4.264874,0.261609
4.269873,0.047585
4.274873,-0.015293
4.279872,0.156574
4.284872,-0.155000
4.289872,-0.193338
4.294871,0.397496
4.299871,-0.173045
4.304871,0.233026
4.309870,-0.911436
4.314870,-0.521415
4.319870,-0.830665
4.324869,0.300301
4.329869,0.337536
4.334868,-0.136333
4.339868,0.691910
4.344868,-0.443822
4.349867,-0.304927
4.354867,0.520399
4.359867,-0.071887
4.364866,0.036378
4.369866,-0.370405
4.374866,-0.000635
4.379865,-0.066326
4.384865,0.121213
4.389864,-0.552014
4.394864,0.587574
4.399864,0.337893
4.404863,0.961123
4.409863,0.289615
4.414863,0.624080
4.419862,-0.309313
4.424862,-0.400837
4.429862,-0.012105
4.434861,-1.265076
4.439861,0.549050
4.444860,-0.177168
4.449860,0.541143
4.454860,-0.437584
4.459859,-0.251437
4.464859,0.668452
4.469859,0.027346
4.474858,-0.777524
4.479858,-0.613369
4.484858,-0.754668
4.489857,-0.383696
4.494857,-0.485365
4.499856,0.584118
4.504856,0.226935
4.509856,0.221129
4.514855,-0.451004
4.519855,-0.482093
4.524855,-0.064048
4.529854,-0.167838
4.534854,-0.475697
4.539854,-0.966972
4.544853,0.666975
4.549853,0.030057
4.554852,-0.468663
4.559852,-0.177022
4.564852,-0.070795
4.569851,0.121095
4.574851,-0.527395
4.579851,0.721497
4.584850,-0.397922
4.589850,-0.192809
4.594850,1.491710
4.599849,-0.654298
4.604849,-0.341403
4.609848,0.826564
4.614848,0.209623
4.619848,-0.419506
4.624847,-0.018773
4.629847,0.069833
4.634847,0.311202
4.639846,-0.069746
4.644846,0.376666
4.649846,-0.084747
4.654845,-0.742013
4.659845,0.182887
4.664845,-0.335835
4.669844,0.167704
4.674844,0.268157
